method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Wald ratio,1,0.147073556120393,0.491560823531378,0.764789687878428,ABCC10,ENSG00000124574,BBJ_Graves,1.15843917018713,0.442026405383979,3.03597544101037,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.0128567131704435,0.200124617769652,0.948776311919875,ABCC2,ENSG00000023839,BBJ_Graves,0.987225581309953,0.666909473611812,1.46138926939291,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,2,0.11684302640451,0.0738061444255744,0.113397070626504,ABCC3,ENSG00000108846,BBJ_Graves,1.12394298647072,0.972566313943215,1.29888092845306,,,0.114040168810424,0.735590525870677,,,4,2,0,2,log_odds,log_odds,FALSE
Inverse variance weighted,2,0.0883914565485051,0.0779641824565155,0.256901772495021,ABCC4,ENSG00000125257,BBJ_Graves,1.09241567160754,0.937612675587394,1.27277716123678,,,0.271398471191279,0.602395205144449,,,4,2,2,2,log_odds,log_odds,FALSE
Inverse variance weighted,3,0.0761489898503929,0.0934850531010555,0.415325409041396,ABCC5,ENSG00000114770,BBJ_Graves,1.07912334060577,0.898452253658633,1.2961258425232,-0.022789005054889,0.792241045104046,2.45903664338598,0.292433402588257,,,6,3,0,3,log_odds,log_odds,FALSE
MR Egger,3,0.161498429600474,0.281560954410175,0.668468590054571,ABCC5,ENSG00000114770,BBJ_Graves,1.17527061251251,0.676812473299795,2.04083267836541,-0.022789005054889,0.792241045104046,2.45903664338598,0.292433402588257,,,6,3,0,3,log_odds,log_odds,FALSE
Weighted median,3,0.0558151053919297,0.0834269457397284,0.503476525513767,ABCC5,ENSG00000114770,BBJ_Graves,1.05740215770379,0.897895391268406,1.24524452847136,-0.022789005054889,0.792241045104046,2.45903664338598,0.292433402588257,,,6,3,0,3,log_odds,log_odds,FALSE
Weighted mode,3,0.0553677831467197,0.263393049033064,0.852974591680144,ABCC5,ENSG00000114770,BBJ_Graves,1.05692926397235,0.630726724810142,1.77113070542142,-0.022789005054889,0.792241045104046,2.45903664338598,0.292433402588257,,,6,3,0,3,log_odds,log_odds,FALSE
Wald ratio,1,-0.0231290894628805,0.29365408003814,0.937221098668451,ABCG1,ENSG00000160179,BBJ_Graves,0.977136337626398,0.549530453474894,1.73747499573934,,,,,,,3,1,0,2,log_odds,log_odds,FALSE
Inverse variance weighted,2,0.232222901066239,0.551974336314513,0.673964505586279,ABCG2,ENSG00000118777,BBJ_Graves,1.26140086509216,0.427565922373899,3.72137268007958,,,1.35711903719146,0.244037402250369,,,2,2,0,0,log_odds,log_odds,FALSE
