method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Inverse variance weighted,2,-0.0616132931157345,0.180907553156708,0.733420625866338,DNPEP,ENSG00000123992,UKB_hyperthyroid,0.940246416258958,0.659553559854439,1.34039656079322,,,6.02365762108745,0.0141153633455709,,,2,2,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,0.142338319479403,0.244404220487929,0.5603047169813,DOT1L,ENSG00000104885,UKB_hyperthyroid,1.15296665363815,0.714127363229618,1.861477619888,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,4,-0.0929096448988585,0.071926708100674,0.196451828779891,DPEP2,ENSG00000167261,UKB_hyperthyroid,0.911275834996643,0.791452042002368,1.04924064046618,0.00313702307656329,0.960242671749111,2.26441862310409,0.519371603126309,,,5,4,0,1,LMM_binary,log_odds,TRUE
MR Egger,4,-0.1023235436019,0.183948875530846,0.633961805326171,DPEP2,ENSG00000167261,UKB_hyperthyroid,0.902737429494786,0.629478651407971,1.29461875281722,0.00313702307656329,0.960242671749111,2.26441862310409,0.519371603126309,,,5,4,0,1,LMM_binary,log_odds,TRUE
Weighted median,4,-0.0900046541078821,0.0784802333860209,0.251445735393811,DPEP2,ENSG00000167261,UKB_hyperthyroid,0.913926931746793,0.783624042288215,1.06589689889185,0.00313702307656329,0.960242671749111,2.26441862310409,0.519371603126309,,,5,4,0,1,LMM_binary,log_odds,TRUE
Weighted mode,4,-0.0870712733970935,0.193075010036866,0.682612436705863,DPEP2,ENSG00000167261,UKB_hyperthyroid,0.916611763270766,0.627822187788869,1.33824057337854,0.00313702307656329,0.960242671749111,2.26441862310409,0.519371603126309,,,5,4,0,1,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,0.125666037655589,0.0805151414583674,0.11857679604453,DPEP3,ENSG00000141096,UKB_hyperthyroid,1.13390342399757,0.968367476169226,1.32773663572393,,,0.918343048643189,0.33791041000614,,,4,2,0,2,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,0.03034135175609,0.195425027490477,0.876617712045304,DPP4,ENSG00000197635,UKB_hyperthyroid,1.03080634145989,0.702793829825374,1.51191098797487,,,1.63138488226033,0.201511606847231,,,2,2,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.0381821439498146,0.093527822783159,0.683094771859936,DPP7,ENSG00000176978,UKB_hyperthyroid,0.962537604522322,0.801318585241844,1.15619262698113,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,0.201785018119165,0.162476488669458,0.2142610445191,DPP8,ENSG00000074603,UKB_hyperthyroid,1.22358493124411,0.889879783878637,1.68242959452582,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.0514700238789944,0.0929350026228865,0.579696436817665,DPP9,ENSG00000142002,UKB_hyperthyroid,0.949832121818078,0.791660509235255,1.13960599159978,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,4,-0.00202351864004581,0.0540635714130796,0.97014334507607,DPYD,ENSG00000188641,UKB_hyperthyroid,0.99797852729357,0.897638261557627,1.10953508065799,0.0494412172368929,0.502474708083064,3.04882023252068,0.384159134569462,,,4,4,1,0,LMM_binary,log_odds,TRUE
MR Egger,4,-0.110537936877655,0.145591851389146,0.526995917924458,DPYD,ENSG00000188641,UKB_hyperthyroid,0.895352362672139,0.673075369275008,1.19103430304703,0.0494412172368929,0.502474708083064,3.04882023252068,0.384159134569462,,,4,4,1,0,LMM_binary,log_odds,TRUE
Weighted median,4,-0.0126401416335005,0.0625034926301151,0.839736166605137,DPYD,ENSG00000188641,UKB_hyperthyroid,0.987439409425113,0.873587496080561,1.11612928488608,0.0494412172368929,0.502474708083064,3.04882023252068,0.384159134569462,,,4,4,1,0,LMM_binary,log_odds,TRUE
Weighted mode,4,-0.0206153969983779,0.157549937111903,0.904175652967961,DPYD,ENSG00000188641,UKB_hyperthyroid,0.979595647554538,0.719345668635044,1.33400071001838,0.0494412172368929,0.502474708083064,3.04882023252068,0.384159134569462,,,4,4,1,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,-0.103349702476169,0.0901215506324897,0.251472049567378,DRAXIN,ENSG00000162490,UKB_hyperthyroid,0.901811552600017,0.755792854965783,1.07604096950569,,,1.306030827453,0.253114555040264,,,2,2,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.0436501476904894,0.170895313509729,0.798398423715484,DRD4,ENSG00000069696,UKB_hyperthyroid,0.957288808595968,0.684816087500323,1.3381722184829,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,0.0713629252771944,0.282017264062871,0.80023380478224,DST,ENSG00000151914,UKB_hyperthyroid,1.07397092634415,0.617923316667284,1.86659658168159,,,1.94605416167825,0.163012687683302,,,2,2,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,5,0.0275344482388977,0.04779058516529,0.564515175357169,DSTYK,ENSG00000133059,UKB_hyperthyroid,1.02791702442858,0.936004402785383,1.12885516987507,0.0183467322735746,0.890583189206597,1.06716745908777,0.899445851207077,,,6,5,0,1,LMM_binary,log_odds,TRUE
MR Egger,5,-0.0219839597559659,0.334472817027974,0.951729922659372,DSTYK,ENSG00000133059,UKB_hyperthyroid,0.97825592638915,0.507859379804843,1.88434967546182,0.0183467322735746,0.890583189206597,1.06716745908777,0.899445851207077,,,6,5,0,1,LMM_binary,log_odds,TRUE
Weighted median,5,0.0379130376209249,0.0544694527635347,0.486402403524198,DSTYK,ENSG00000133059,UKB_hyperthyroid,1.03864090626683,0.933469406163481,1.15566179785635,0.0183467322735746,0.890583189206597,1.06716745908777,0.899445851207077,,,6,5,0,1,LMM_binary,log_odds,TRUE
Weighted mode,5,0.0400586876418548,0.151658182860787,0.804724209639194,DSTYK,ENSG00000133059,UKB_hyperthyroid,1.04087185871478,0.773220243323476,1.40117157513569,0.0183467322735746,0.890583189206597,1.06716745908777,0.899445851207077,,,6,5,0,1,LMM_binary,log_odds,TRUE
Inverse variance weighted,4,0.0175279826624706,0.0687431778229164,0.798740263478239,DUSP3,ENSG00000108861,UKB_hyperthyroid,1.01768249921821,0.889399604248302,1.16446832702421,0.0453591321899987,0.291006995782376,2.21665156697541,0.528675983477288,,,4,4,0,0,LMM_binary,log_odds,TRUE
MR Egger,4,-0.0906169040251722,0.10252383380471,0.470010391092028,DUSP3,ENSG00000108861,UKB_hyperthyroid,0.913367551316207,0.74709448322327,1.11664629110646,0.0453591321899987,0.291006995782376,2.21665156697541,0.528675983477288,,,4,4,0,0,LMM_binary,log_odds,TRUE
Weighted median,4,-0.00782848762724616,0.0714663086020846,0.912773440546729,DUSP3,ENSG00000108861,UKB_hyperthyroid,0.992202075176506,0.862515247055528,1.1413884697637,0.0453591321899987,0.291006995782376,2.21665156697541,0.528675983477288,,,4,4,0,0,LMM_binary,log_odds,TRUE
Weighted mode,4,-0.00833601083275615,0.314590751804907,0.980524256071542,DUSP3,ENSG00000108861,UKB_hyperthyroid,0.991698637362792,0.535296818835265,1.83723525480146,0.0453591321899987,0.291006995782376,2.21665156697541,0.528675983477288,,,4,4,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,4,-0.106832847845368,0.116588230140119,0.359495839383816,DUT,ENSG00000128951,UKB_hyperthyroid,0.898675876045571,0.715090780280702,1.12939273230351,0.242254650068824,0.205892507241389,5.10655971100631,0.164158557431407,,,4,4,1,0,LMM_binary,log_odds,TRUE
MR Egger,4,-0.900677862180882,0.438816671623823,0.176540888029182,DUT,ENSG00000128951,UKB_hyperthyroid,0.406294154932062,0.171914410642315,0.960215840633703,0.242254650068824,0.205892507241389,5.10655971100631,0.164158557431407,,,4,4,1,0,LMM_binary,log_odds,TRUE
