method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Weighted median,5,-0.0358958275919502,0.0659452091460097,0.586215742730198,ABAT,ENSG00000183044,UKB_hyperthyroid,0.964740787619664,0.847767854191498,1.09785336008597,0.000384081847337137,0.99014708334879,0.564502042399433,0.966925453003047,,,5,5,0,0,LMM_binary,log_odds,TRUE
Weighted mode,5,-0.0453505310173985,0.21453689354339,0.84291778552887,ABAT,ENSG00000183044,UKB_hyperthyroid,0.955662433788959,0.627605909359309,1.45519771840225,0.000384081847337137,0.99014708334879,0.564502042399433,0.966925453003047,,,5,5,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,4,0.212442010064724,0.227237638334048,0.349845412184149,ABAT,ENSG00000183044,FinnGen_GO,1.23669439565789,0.792198124646419,1.93059410350693,0.105099841376905,0.330559428258495,2.07540890270242,0.556903707469611,,,5,4,0,1,log_odds,log_odds,FALSE
MR Egger,4,-0.351172985762948,0.497212368773021,0.553203005570593,ABAT,ENSG00000183044,FinnGen_GO,0.703861985221281,0.265614510873849,1.86519062008227,0.105099841376905,0.330559428258495,2.07540890270242,0.556903707469611,,,5,4,0,1,log_odds,log_odds,FALSE
Weighted median,4,0.17721184305069,0.239126115393367,0.458644272493436,ABAT,ENSG00000183044,FinnGen_GO,1.19388398236477,0.747160436020831,1.90770133779866,0.105099841376905,0.330559428258495,2.07540890270242,0.556903707469611,,,5,4,0,1,log_odds,log_odds,FALSE
Weighted mode,4,0.071556053377372,0.825069219183635,0.936352609404208,ABAT,ENSG00000183044,FinnGen_GO,1.07417836033882,0.213188268026561,5.41239515898893,0.105099841376905,0.330559428258495,2.07540890270242,0.556903707469611,,,5,4,0,1,log_odds,log_odds,FALSE
Inverse variance weighted,3,-0.011724979566429,0.241127291355681,0.961217600991766,ABCA1,ENSG00000165029,BBJ_Graves,0.988343490143241,0.616107097721156,1.58547573647759,-0.252574756785417,0.73908835781301,5.58216528234841,0.0613547527631276,,,3,3,0,0,log_odds,log_odds,FALSE
MR Egger,3,1.80155484961306,4.18553598438674,0.741242213406184,ABCA1,ENSG00000165029,BBJ_Graves,6.05906107290839,0.00165807882731242,22141.4208302392,-0.252574756785417,0.73908835781301,5.58216528234841,0.0613547527631276,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted median,3,-0.00663438359568005,0.171478964209617,0.969138185725958,ABCA1,ENSG00000165029,BBJ_Graves,0.993387575338999,0.709827601339056,1.39022330630185,-0.252574756785417,0.73908835781301,5.58216528234841,0.0613547527631276,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted mode,3,-0.0436113995956615,0.456924139479066,0.93266295112237,ABCA1,ENSG00000165029,BBJ_Graves,0.957325902432154,0.390947220917166,2.3442368545746,-0.252574756785417,0.73908835781301,5.58216528234841,0.0613547527631276,,,3,3,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,3,0.0819862931214617,0.195018646978695,0.674191568003003,ABCA1,ENSG00000165029,UKB_hyperthyroid,1.08544093172057,0.740632850445796,1.59077742169451,0.452025888840049,0.309765957133989,3.63412399199223,0.162502483216611,,,3,3,0,0,LMM_binary,log_odds,TRUE
MR Egger,3,-3.18800214371236,1.73587024841796,0.317425941648306,ABCA1,ENSG00000165029,UKB_hyperthyroid,0.0412542086423591,0.00137361705715401,1.23899868732955,0.452025888840049,0.309765957133989,3.63412399199223,0.162502483216611,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted median,3,0.0117474457288471,0.157169184877371,0.94041843824189,ABCA1,ENSG00000165029,UKB_hyperthyroid,1.01181671796093,0.743561234542909,1.37685105568282,0.452025888840049,0.309765957133989,3.63412399199223,0.162502483216611,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted mode,3,0.000447769616379712,0.355865626649342,0.999110279883411,ABCA1,ENSG00000165029,UKB_hyperthyroid,1.00044786988016,0.498052961799912,2.00961748471611,0.452025888840049,0.309765957133989,3.63412399199223,0.162502483216611,,,3,3,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,3,0.805330930745297,0.28560700742779,0.00480660212387905,ABCA1,ENSG00000165029,FinnGen_GO,2.23743681294894,1.27831294412493,3.91619557241208,0.179106852525027,0.795959762444265,0.6954005737152,0.706310535044302,,,3,3,0,0,log_odds,log_odds,FALSE
MR Egger,3,-0.482781002403304,3.8909280179343,0.921410757839747,ABCA1,ENSG00000165029,FinnGen_GO,0.617064944317237,0.000300819567175283,1265.77253295284,0.179106852525027,0.795959762444265,0.6954005737152,0.706310535044302,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted median,3,0.818735395546992,0.306189019921682,0.00749627032256871,ABCA1,ENSG00000165029,FinnGen_GO,2.26763036808164,1.24433956153111,4.13243108651055,0.179106852525027,0.795959762444265,0.6954005737152,0.706310535044302,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted mode,3,0.998692816282317,0.557459876008244,0.215088804325306,ABCA1,ENSG00000165029,FinnGen_GO,2.71473085610507,0.91034781273957,8.09554712820218,0.179106852525027,0.795959762444265,0.6954005737152,0.706310535044302,,,3,3,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.0137171680235839,0.416740443089392,0.973742071844553,ABCA13,ENSG00000179869,BBJ_Graves,0.986376483624871,0.435818922843685,2.23243763969636,,,,,,,1,1,1,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.322763689508932,0.356471286361404,0.365231845581584,ABCA13,ENSG00000179869,UKB_hyperthyroid,0.724144957200862,0.360073388711095,1.45633066891311,,,,,,,1,1,1,0,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.0234597537259591,0.673737718103876,0.972223028344404,ABCA13,ENSG00000179869,FinnGen_GO,0.976813286972986,0.260804112253818,3.65854736476841,,,,,,,1,1,1,0,log_odds,log_odds,FALSE
Wald ratio,1,0.0863172924694351,0.109429768401577,0.430233764481943,ABCA2,ENSG00000107331,BBJ_Graves,1.0901521705099,0.879708168163134,1.35093863837703,,,,,,,2,1,0,1,log_odds,log_odds,FALSE
Inverse variance weighted,2,0.00540543001455516,0.0833141799549391,0.948269487203284,ABCA2,ENSG00000107331,UKB_hyperthyroid,1.00542006571024,0.853943400887606,1.18376640358372,,,0.938227721172767,0.332734043566322,,,2,2,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,-0.124662545870262,0.169149599535993,0.461124898313011,ABCA2,ENSG00000107331,FinnGen_GO,0.882794755061802,0.633689773236652,1.22982350746189,,,0.23036159786625,0.631255838673614,,,2,2,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.0348583260903863,0.206463786901605,0.86592637936559,ABCA3,ENSG00000167972,BBJ_Graves,0.965742227043062,0.644340897866782,1.4474605789914,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.0115460547357785,0.181689983507597,0.949330051802811,ABCA3,ENSG00000167972,UKB_hyperthyroid,0.988520345156244,0.692353633788256,1.41137769067689,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.803053870780462,0.32903634272825,0.0146619267456374,ABCA3,ENSG00000167972,FinnGen_GO,0.447958864641077,0.235048100564903,0.853727998346931,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,3,0.0959094368100169,0.0693350620210149,0.16658065387096,ABCA7,ENSG00000064687,UKB_hyperthyroid,1.10065938025565,0.960801655906782,1.26087529501748,0.10109257097496,0.68368242961982,0.352002260180184,0.838617035623736,,,3,3,0,0,LMM_binary,log_odds,TRUE
MR Egger,3,-0.117150819269642,0.398992387213836,0.818187570643188,ABCA7,ENSG00000064687,UKB_hyperthyroid,0.889451036691239,0.406904852623012,1.94424603582714,0.10109257097496,0.68368242961982,0.352002260180184,0.838617035623736,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted median,3,0.0932934085928862,0.0729439161200155,0.200906036003478,ABCA7,ENSG00000064687,UKB_hyperthyroid,1.09778378721567,0.951537038090128,1.26650797103226,0.10109257097496,0.68368242961982,0.352002260180184,0.838617035623736,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted mode,3,0.0932928983606103,0.133133466372486,0.55601282885134,ABCA7,ENSG00000064687,UKB_hyperthyroid,1.09778322709109,0.845650863267549,1.42508931998955,0.10109257097496,0.68368242961982,0.352002260180184,0.838617035623736,,,3,3,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,3,0.0717002574011797,0.16755524809722,0.668709297573369,ABCA7,ENSG00000064687,FinnGen_GO,1.07433327234987,0.773594047924138,1.49198663455999,0.478738198108065,0.566568744049359,1.14721382420095,0.563489312423286,,,3,3,0,0,log_odds,log_odds,FALSE
MR Egger,3,-0.906140735255125,1.21872638014656,0.592985137357097,ABCA7,ENSG00000064687,FinnGen_GO,0.404080673022961,0.0370738117881204,4.40421910872972,0.478738198108065,0.566568744049359,1.14721382420095,0.563489312423286,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted median,3,0.0771175199801041,0.181053150622223,0.670152609377779,ABCA7,ENSG00000064687,FinnGen_GO,1.08016901037442,0.757488703001303,1.54030691989245,0.478738198108065,0.566568744049359,1.14721382420095,0.563489312423286,,,3,3,0,0,log_odds,log_odds,FALSE
Weighted mode,3,0.116024483655657,0.424908682967129,0.810420663347367,ABCA7,ENSG00000064687,FinnGen_GO,1.12302336751408,0.488314050035864,2.58272618592491,0.478738198108065,0.566568744049359,1.14721382420095,0.563489312423286,,,3,3,0,0,log_odds,log_odds,FALSE
Wald ratio,1,-0.109615012631619,0.515760293686837,0.831692853636346,ABCB1,ENSG00000085563,BBJ_Graves,0.896179086519453,0.326115003530799,2.46274150658325,,,,,,,2,1,0,1,log_odds,log_odds,FALSE
Inverse variance weighted,2,-0.00270701695252656,0.204801296344407,0.989454050436605,ABCB1,ENSG00000085563,UKB_hyperthyroid,0.997296643713957,0.667565639116337,1.48989183577466,,,0.243091018989479,0.621982477531972,,,2,2,1,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,-0.382367781990074,0.400479767601814,0.339691856477677,ABCB1,ENSG00000085563,FinnGen_GO,0.682244089969215,0.311203535310671,1.49566745067103,,,0.254114491749138,0.614192722686758,,,2,2,1,0,log_odds,log_odds,FALSE
Wald ratio,1,0.216678712449586,0.140924103692208,0.124157193171759,ABCB4,ENSG00000005471,BBJ_Graves,1.24194501655846,0.942204882426204,1.63704036449334,,,,,,,2,1,0,1,log_odds,log_odds,FALSE
Inverse variance weighted,2,-0.166101229649687,0.123862211869456,0.179915200883395,ABCB4,ENSG00000005471,UKB_hyperthyroid,0.846960492335726,0.664399824817128,1.07968432378052,,,0.206615507659995,0.64943316716322,,,2,2,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,0.24182959272094,0.263464939057703,0.358680909478058,ABCB4,ENSG00000005471,FinnGen_GO,1.27357714750729,0.759905125903164,2.13447533825361,,,0.00819494865707356,0.927869268954199,,,2,2,0,0,log_odds,log_odds,FALSE
Wald ratio,1,0.131467754662677,0.267393160216916,0.622956458228582,ABCB8,ENSG00000197150,BBJ_Graves,1.14050113128575,0.675283389876424,1.92621771831542,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,0.270309202079837,0.223759379284273,0.227033730588183,ABCB8,ENSG00000197150,UKB_hyperthyroid,1.31036955709256,0.845134763155018,2.0317095580649,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,0.38114684190911,0.474364566915019,0.421691993313717,ABCB8,ENSG00000197150,FinnGen_GO,1.4639625606844,0.577753651728554,3.70951593758606,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
