gene_symbol,outcome,method,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed
ADORA1,UKB_hyperthyroid,Weighted median,3,3,0,0
ADORA1,UKB_hyperthyroid,Weighted mode,3,3,0,0
ADORA1,FinnGen_GO,Inverse variance weighted,3,3,0,0
ADORA1,FinnGen_GO,MR Egger,3,3,0,0
ADORA1,FinnGen_GO,Weighted median,3,3,0,0
ADORA1,FinnGen_GO,Weighted mode,3,3,0,0
ADORA2A,BBJ_Graves,Wald ratio,1,1,0,0
ADORA2A,UKB_hyperthyroid,Wald ratio,1,1,0,0
ADORA2A,FinnGen_GO,Wald ratio,1,1,0,0
ADORA2B,BBJ_Graves,Inverse variance weighted,3,2,0,1
ADORA2B,UKB_hyperthyroid,Inverse variance weighted,3,3,0,0
ADORA2B,UKB_hyperthyroid,MR Egger,3,3,0,0
ADORA2B,UKB_hyperthyroid,Weighted median,3,3,0,0
ADORA2B,UKB_hyperthyroid,Weighted mode,3,3,0,0
ADORA2B,FinnGen_GO,Inverse variance weighted,3,3,0,0
ADORA2B,FinnGen_GO,MR Egger,3,3,0,0
ADORA2B,FinnGen_GO,Weighted median,3,3,0,0
ADORA2B,FinnGen_GO,Weighted mode,3,3,0,0
ADRA2A,BBJ_Graves,Wald ratio,1,1,1,0
ADRA2A,UKB_hyperthyroid,Wald ratio,1,1,1,0
ADRA2A,FinnGen_GO,Wald ratio,1,1,1,0
ADRB1,BBJ_Graves,Inverse variance weighted,3,2,0,1
ADRB1,UKB_hyperthyroid,Inverse variance weighted,3,3,0,0
ADRB1,UKB_hyperthyroid,MR Egger,3,3,0,0
ADRB1,UKB_hyperthyroid,Weighted median,3,3,0,0
