ld_reference_id,ancestry,source,genome_build,n_individuals,n_snps_chr14,plink_bfile_prefix,download_url,access_date,md5_hash,notes
1000G_phase3_EUR_hg19,EUR,1000 Genomes Project Phase 3,hg19,503,717296,EUR_chr14,https://vu.data.surfsara.nl/index.php/s/VZNByNwpD8qqINe/download,2026-05-22,698DC9D4AF6882DCC4FE7BD0AA212112,Standard EUR LD reference for clumping and COJO. Used for UKB hyperthyroid and FinnGen GO outcomes.
1000G_phase3_EAS_hg19,EAS,1000 Genomes Project Phase 3,hg19,504,712751,EAS_chr14,https://vu.data.surfsara.nl/index.php/s/dz6PYdKOi3xVqHn/download,2026-05-22,711E70500E1124CBA22DE44346C92D9D,Standard EAS LD reference. Used for BBJ Graves outcome analysis. Cross-ancestry comparison sensitivity at TSHR locus.
