"gene","logFC","AveExpr","t","P.Value","adj.P.Val","probe_id","GSE"
"CTLA4",0.562760495641414,3.88194161714286,3.21272879531793,0.00224229875615085,0.137595605491075,"234362_s_at","GSE58331"
"HAS1",0.360518004779462,5.28701160673469,2.38217852003084,0.0208462516934409,0.284081953017347,"207316_at","GSE58331"
"IGF1R",-0.373790968511785,5.84475896732653,-2.1607992680293,0.0352690261414206,0.330874057014785,"243358_at","GSE58331"
"TSHR",0.24873792056229,2.16353424087755,1.91112897955489,0.0614248386390984,0.381570110943407,"215442_s_at","GSE58331"
"CTLA4",0.654389719107143,4.243632178,2.34811654760077,0.0326143174577021,0.208779745580126,"234895_at","GSE105149"
"HAS1",0.520858926321429,4.15830617936364,2.76916934065798,0.0140616467048248,0.152687015622583,"207316_at","GSE105149"
"IGF1R",-0.292878174821428,3.43847994109091,-1.2714698659736,0.222440614045765,0.505904349956415,"208441_at","GSE105149"
"TSHR",-0.331348759107143,2.052868536,-1.15765572377606,0.264654825888117,0.549250431028006,"215443_at","GSE105149"
