"file_name","relative_path","file_size_bytes.size","file_size_bytes.isdir","file_size_bytes.mode","file_size_bytes.mtime","file_size_bytes.ctime","file_size_bytes.atime","file_size_bytes.exe","created_at.size","created_at.isdir","created_at.mode","created_at.mtime","created_at.ctime","created_at.atime","created_at.exe","md5_hash"
"check_range.R","TrackA_MR/v5_upgrade/scripts/check_range.R",320,FALSE,666,2026-05-22 08:27:04.902298,2026-05-22 08:27:04.90127,2026-05-22 08:27:04.902298,"no",320,FALSE,666,2026-05-22 08:27:04.902298,2026-05-22 08:27:04.90127,2026-05-22 08:27:04.902298,"no","c2834da06921983d8b5c13ae1a630673"
"check_surfsara.R","TrackA_MR/v5_upgrade/scripts/check_surfsara.R",987,FALSE,666,2026-05-22 14:39:48.40115,2026-05-22 14:39:48.400116,2026-05-22 14:39:48.40115,"no",987,FALSE,666,2026-05-22 14:39:48.40115,2026-05-22 14:39:48.400116,2026-05-22 14:39:48.40115,"no","b4ded11b2c9fd013ca3b9f06d3b4fb73"
"copy_files.R","TrackA_MR/v5_upgrade/scripts/copy_files.R",1454,FALSE,666,2026-05-22 13:38:16.065027,2026-05-22 13:38:16.064507,2026-05-22 13:38:16.065027,"no",1454,FALSE,666,2026-05-22 13:38:16.065027,2026-05-22 13:38:16.064507,2026-05-22 13:38:16.065027,"no","b6ee5e2be80ecea012fd0564252b279b"
"download_bits.ps1","TrackA_MR/v5_upgrade/scripts/download_bits.ps1",859,FALSE,666,2026-05-22 14:37:43.113234,2026-05-22 14:37:43.112198,2026-05-22 14:37:43.113234,"no",859,FALSE,666,2026-05-22 14:37:43.113234,2026-05-22 14:37:43.112198,2026-05-22 14:37:43.113234,"no","235f0d6e534ce460206fb5c2c8dded82"
"download_official_panels.ps1","TrackA_MR/v5_upgrade/scripts/download_official_panels.ps1",1052,FALSE,666,2026-05-22 14:40:22.958973,2026-05-22 14:40:22.957949,2026-05-22 14:40:22.958973,"no",1052,FALSE,666,2026-05-22 14:40:22.958973,2026-05-22 14:40:22.957949,2026-05-22 14:40:22.958973,"no","c779a30867b587c096fd332411a3cb11"
"download_panels.ps1","TrackA_MR/v5_upgrade/scripts/download_panels.ps1",1270,FALSE,666,2026-05-22 14:32:30.707649,2026-05-22 14:32:30.706129,2026-05-22 14:32:30.707649,"no",1270,FALSE,666,2026-05-22 14:32:30.707649,2026-05-22 14:32:30.706129,2026-05-22 14:32:30.707649,"no","46a7341800c3993a140b74908aacdf10"
"download_prereqs.R","TrackA_MR/v5_upgrade/scripts/download_prereqs.R",2830,FALSE,666,2026-05-22 13:42:04.660444,2026-05-22 13:42:04.659927,2026-05-22 13:42:04.660444,"no",2830,FALSE,666,2026-05-22 13:42:04.660444,2026-05-22 13:42:04.659927,2026-05-22 13:42:04.660444,"no","b4e2360dba11bade249919888f48c598"
"download_prereqs_v2.R","TrackA_MR/v5_upgrade/scripts/download_prereqs_v2.R",3163,FALSE,666,2026-05-22 13:51:42.634537,2026-05-22 13:51:42.633892,2026-05-22 13:51:42.634537,"no",3163,FALSE,666,2026-05-22 13:51:42.634537,2026-05-22 13:51:42.633892,2026-05-22 13:51:42.634537,"no","2fc34e2cad08df1c04910f30d44b2ead"
"fix_paths.R","TrackA_MR/v5_upgrade/scripts/fix_paths.R",1074,FALSE,666,2026-05-22 14:34:27.728893,2026-05-22 14:34:20.047695,2026-05-22 14:34:27.728893,"no",1074,FALSE,666,2026-05-22 14:34:27.728893,2026-05-22 14:34:20.047695,2026-05-22 14:34:27.728893,"no","6cb912e26bd62c25a03307630ffef0be"
"monitor_bits.ps1","TrackA_MR/v5_upgrade/scripts/monitor_bits.ps1",3255,FALSE,666,2026-05-22 14:40:34.925724,2026-05-22 14:37:56.379097,2026-05-22 14:40:34.925724,"no",3255,FALSE,666,2026-05-22 14:40:34.925724,2026-05-22 14:37:56.379097,2026-05-22 14:40:34.925724,"no","717bee2c0578b4d2ef14a79f5444a01a"
"populate_manifest.py","TrackA_MR/v5_upgrade/scripts/populate_manifest.py",1331,FALSE,666,2026-05-22 15:32:59.467377,2026-05-22 15:32:59.465837,2026-05-22 15:32:59.467377,"no",1331,FALSE,666,2026-05-22 15:32:59.467377,2026-05-22 15:32:59.465837,2026-05-22 15:32:59.467377,"no","4064f4d0add1392abea99f4e78b787ec"
"run_week1.sh","TrackA_MR/v5_upgrade/scripts/run_week1.sh",5655,FALSE,666,2026-05-22 14:55:34.249422,2026-05-22 08:24:36.207924,2026-05-22 14:55:34.249422,"no",5655,FALSE,666,2026-05-22 14:55:34.249422,2026-05-22 08:24:36.207924,2026-05-22 14:55:34.249422,"no","3b2621c3adea9ee54d88817b0e615f8e"
"taskA_01_pqtl_check.R","TrackA_MR/v5_upgrade/scripts/taskA_01_pqtl_check.R",11771,FALSE,666,2026-05-22 15:02:04.620787,2026-05-22 08:24:36.200352,2026-05-22 15:02:04.620787,"no",11771,FALSE,666,2026-05-22 15:02:04.620787,2026-05-22 08:24:36.200352,2026-05-22 15:02:04.620787,"no","8fb5c8ec01344c11d8368ab3085d0005"
"taskB_01_locus_extract.R","TrackA_MR/v5_upgrade/scripts/taskB_01_locus_extract.R",7769,FALSE,666,2026-05-22 08:27:21.831726,2026-05-22 08:24:36.201359,2026-05-22 08:27:21.831726,"no",7769,FALSE,666,2026-05-22 08:27:21.831726,2026-05-22 08:24:36.201359,2026-05-22 08:27:21.831726,"no","c866ba041ba8e11cdd03134c80717d34"
"taskB_02_ld_clumping.R","TrackA_MR/v5_upgrade/scripts/taskB_02_ld_clumping.R",6059,FALSE,666,2026-05-22 14:34:27.740133,2026-05-22 08:24:36.202364,2026-05-22 14:34:27.740133,"no",6059,FALSE,666,2026-05-22 14:34:27.740133,2026-05-22 08:24:36.202364,2026-05-22 14:34:27.740133,"no","0f35814069c0277ebafd428bb3f0aaa3"
"taskB_03_gcta_cojo.sh","TrackA_MR/v5_upgrade/scripts/taskB_03_gcta_cojo.sh",4501,FALSE,666,2026-05-22 14:47:55.556276,2026-05-22 08:24:36.207924,2026-05-22 14:47:55.556276,"no",4501,FALSE,666,2026-05-22 14:47:55.556276,2026-05-22 08:24:36.207924,2026-05-22 14:47:55.556276,"no","a338ebb4fe23d42a1cedb22b7448de1a"
"taskB_03_helper_make_ma.R","TrackA_MR/v5_upgrade/scripts/taskB_03_helper_make_ma.R",3791,FALSE,666,2026-05-22 14:34:27.743143,2026-05-22 08:24:36.203871,2026-05-22 14:34:27.743143,"no",3791,FALSE,666,2026-05-22 14:34:27.743143,2026-05-22 08:24:36.203871,2026-05-22 14:34:27.743143,"no","5c769b4a70a1940be3788ef8ed98649b"
"taskB_03_helper_parse_cojo.R","TrackA_MR/v5_upgrade/scripts/taskB_03_helper_parse_cojo.R",5524,FALSE,666,2026-05-22 15:15:04.001711,2026-05-22 08:24:36.203871,2026-05-22 15:15:04.001711,"no",5524,FALSE,666,2026-05-22 15:15:04.001711,2026-05-22 08:24:36.203871,2026-05-22 15:15:04.001711,"no","e056c8ba78f876895aa8f99fa76d310b"
"taskB_04_susie_finemap.R","TrackA_MR/v5_upgrade/scripts/taskB_04_susie_finemap.R",9804,FALSE,666,2026-05-22 14:49:54.550455,2026-05-22 08:24:36.204882,2026-05-22 14:49:54.550455,"no",9804,FALSE,666,2026-05-22 14:49:54.550455,2026-05-22 08:24:36.204882,2026-05-22 14:49:54.550455,"no","6c54c927930bd7f0faa7695e97c38020"
"taskB_05_integration.R","TrackA_MR/v5_upgrade/scripts/taskB_05_integration.R",8054,FALSE,666,2026-05-22 14:55:16.030872,2026-05-22 08:24:36.206385,2026-05-22 14:55:16.030872,"no",8054,FALSE,666,2026-05-22 14:55:16.030872,2026-05-22 08:24:36.206385,2026-05-22 14:55:16.030872,"no","9f39f71aa1f687e09d084a6f00939188"
"taskD_01_druggable_list.R","TrackA_MR/v5_upgrade/scripts/taskD_01_druggable_list.R",5659,FALSE,666,2026-05-22 16:19:55.295229,2026-05-22 15:58:15.469591,2026-05-22 16:19:55.295229,"no",5659,FALSE,666,2026-05-22 16:19:55.295229,2026-05-22 15:58:15.469591,2026-05-22 16:19:55.295229,"no","96a0a80ca637470a3723465ce8035e73"
"taskD_02_extract_instruments.R","TrackA_MR/v5_upgrade/scripts/taskD_02_extract_instruments.R",9576,FALSE,666,2026-05-22 16:43:36.765072,2026-05-22 15:58:11.080284,2026-05-22 16:43:36.765072,"no",9576,FALSE,666,2026-05-22 16:43:36.765072,2026-05-22 15:58:11.080284,2026-05-22 16:43:36.765072,"no","d113d890204b69e2a903cfb118818adf"
"taskD_03_mr_3outcomes.R","TrackA_MR/v5_upgrade/scripts/taskD_03_mr_3outcomes.R",12057,FALSE,666,2026-05-26 12:12:07.225376,2026-05-22 16:41:46.499889,2026-05-26 12:12:07.225376,"no",12057,FALSE,666,2026-05-26 12:12:07.225376,2026-05-22 16:41:46.499889,2026-05-26 12:12:07.225376,"no","cff23522e465b3519e13c141c694ac8c"
"test_downloads.R","TrackA_MR/v5_upgrade/scripts/test_downloads.R",1214,FALSE,666,2026-05-22 13:47:25.020411,2026-05-22 13:47:25.018814,2026-05-22 13:47:25.020411,"no",1214,FALSE,666,2026-05-22 13:47:25.020411,2026-05-22 13:47:25.018814,2026-05-22 13:47:25.020411,"no","67d81994bcc97be1195b4c55ded6331a"
"update_taskA.R","TrackA_MR/v5_upgrade/scripts/update_taskA.R",803,FALSE,666,2026-05-22 16:32:29.143524,2026-05-22 16:29:48.12079,2026-05-22 16:32:29.143524,"no",803,FALSE,666,2026-05-22 16:32:29.143524,2026-05-22 16:29:48.12079,2026-05-22 16:32:29.143524,"no","712b4175bf80005e4835035d4f6b43f6"
