Gene Symbol,Gene ID,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
CHD7,55636,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
CNN2,1265,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
COX5A,9377,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
ETFDH,2110,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
FTCD,10841,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
ITGA8,8516,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
KRT1,3848,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
LIN7A,8825,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
LTBR,4055,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
MRPL12,6182,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
NUDT7,283927,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
OTC,5009,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
PCYOX1,51449,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
PDLIM2,64236,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
RHBDF2,79651,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
S1PR3,1903,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
SCD2,20250,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
SERINC2,347735,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
SKIL,6498,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
SLCO3A1,28232,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
TCN2,6948,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
TENM3,55714,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
TLR6,10333,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.86,1
ACADSB,36,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
ARL4C,10123,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
BAG2,9532,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
CLMN,79789,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
COL5A3,50509,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
CX3CR1,1524,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
DKK3,27122,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
ELOVL3,83401,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
EMB,133418,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
EPB41L1,2036,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
ESR1.L,398734,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
FAM162A,26355,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
FRY,10129,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
HIBCH,26275,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
KCNJ8,3764,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
LAMA4,3910,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
MUC2,4583,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
NDUFB8,4714,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
NTN4,59277,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
PCDH7,5099,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
PCSK6,5046,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
PDIA5,10954,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
RRAS,6237,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
SEMA5A,9037,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
SYT1,6857,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
TOB1,10140,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.85,1
ABLIM3,22885,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
ACAD9,28976,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
ACOT7,11332,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
APLP2,334,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
CBL,867,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
COX5B,1329,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
CPQ,10404,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
FIGNL1,63979,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
GPC3,2719,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
GSK3A,2931,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
HSDL2,84263,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
ITGA7,3679,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
JADE1,79960,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
LNPEP,4012,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
LRAT,9227,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
LXN,56925,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
MID1IP1,58526,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
PDHB,5162,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
PIK3C2A,5286,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
PLS1,5357,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
PRSS8,5652,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
RAP1GAP,5909,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
SERPINA3N,20716,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
SMAD6,4091,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
TBC1D4,9882,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
UGP2,7360,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.84,1
ACTC1,70,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
GALK1,2584,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
H6PD,9563,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
ITGA2B,3674,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
ITGB8,3696,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
KMO,8564,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
LIMCH1,22998,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
NEB,4703,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
PAPPA,5069,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
PIK3C3,5289,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
PRXL2A,84293,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
TBXA2R,6915,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
TNIK,23043,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
UTRN,7402,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.83,1
AASS,10157,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
ALDH3B1,221,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
ALDH9A1,223,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
APLN,8862,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
BBOX1,8424,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
BMPR2,659,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
CENPU,79682,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
CLOCK,9575,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
ECI2,10455,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
ENDOG,2021,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
ESRRG,2104,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
FARP1,10160,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
GCHFR,2644,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
GNL3,26354,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
HACL1,26061,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
HMOX2,3163,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
IARS1,3376,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
IMPA2,3613,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
IVD,3712,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
MAP3K6,9064,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
MED1,5469,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
MERTK,10461,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
ND1,4535,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
NINJ1,4814,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
PDE3B,5140,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
PPP2R1A,5518,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
PTGIS,5740,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
RARRES2,5919,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
RPL15,6138,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
SEMA6D,80031,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
SESN3,143686,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
SLC25A5,292,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
SLCO1A2,6579,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
ST3GAL1,6482,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
TNFRSF11A,8792,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
TOMM20,9804,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
TP53INP1,94241,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
TPR,7175,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
UBB,7314,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
UCP3,7352,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.82,1
ANKRD12,23253,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
CCDC80,151887,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
CCNL1,57018,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
CHST15,51363,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
CYP4A1,50549,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
DLAT,1737,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
ETFB,2109,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
FAM13A,10144,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
GALE,2582,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
GNB1,2782,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
GPC1,2817,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
GUCY1B1,2983,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
LYZ,4069,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
METRNL,284207,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
MSR1,4481,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
PANK1,53354,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
PDK2,5164,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
RAMP1,10267,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
SEL1L,6400,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
SH3BP5,9467,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
SLC34A2,10568,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
SLC37A4,2542,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
SLC38A1,81539,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
STX3,6809,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
TRPV4,59341,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
UMPS,7372,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
VEGFB,7423,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.81,1
ADH4,127,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
AGTR2,186,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
ALDH1A7,26358,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
CACNA2D1,781,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
COL7A1,1294,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
FDX1,2230,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
HSPG2,3339,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
LIPA,3988,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
LMCD1,29995,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
LONP1,9361,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
NDUFS4,4724,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
NFATC2,4773,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
NID1,4811,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
PDE3A,5139,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
PIK3CB,5291,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
PLCB4,5332,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
PTPRD,5789,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
SLC5A3,6526,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
SPINK1,6690,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
STOM,2040,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
SULF1,23213,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
TKFC,26007,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
TLR1,7096,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.80,1
ANKRD37,353322,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.79,1
CGA,1081,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.79,1
EGLN1,54583,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.79,1
EPB41L3,23136,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.79,1
GABARAPL1,23710,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.79,1
IDE,3416,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.79,1
ITGA1,3672,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.79,1
LRP2,4036,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.79,1
PRODH,5625,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.79,1
RXRB,6257,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.79,1
SLC4A7,9497,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.79,1
STEAP4,79689,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.79,1
ABCC9,10060,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
ABHD2,11057,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
ACADS,35,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
ACTG2,72,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
ADIPOR2,79602,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
AIFM2,84883,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
ATXN1,6310,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
CAVIN2,8436,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
CEBPG,1054,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
CELF2,10659,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
LPP,4026,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
PDZK1,5174,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
PFKL,5211,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
PLIN1,5346,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
PNPLA3,80339,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
SLC25A25,114789,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
SUCLG2,8801,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
TMSB4X,7114,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
UQCRC1,7384,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
VAV3,10451,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
VEGFD,2277,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
YWHAH,7533,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.78,1
ADRB3,155,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
APOC1,341,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
ARRDC4,91947,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
DHRS9,10170,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
ESR2A,317734,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
ETFA,2108,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
FZD2,2535,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
HNRNPDL,9987,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
IQGAP2,10788,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
PLXNA2,5362,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
PPM1D,8493,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
REEP6,92840,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
SLC10A2,6555,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
SLC51A,200931,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
SLC51B,123264,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
ST3GAL5,8869,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
UQCRC2,7385,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.77,1
ABCC6,368,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
ABLIM1,3983,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
ANK3,288,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
AQP7,364,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
BCAR3,8412,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
CDH13,1012,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
COL11A1,1301,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
CXCL11,6373,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
ENG,2022,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
FBN2,2201,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
FSCN1,6624,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
FSTL1,11167,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
GOT2,2806,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
HSPA1L,3305,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
IYD,389434,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
KLF15,28999,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
LBH,81606,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
MDH2,4191,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
MTSS1,9788,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
NARS1,4677,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
PEX11A,8800,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
PFKM,5213,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
PRKAR2B,5577,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
PROC,5624,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
RBPMS,11030,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
RXRG,6258,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
SLC7A7,9056,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
SLIT2,9353,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
SP7,121340,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
THBS2,7058,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
TPO,7173,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
TRH,7200,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.76,1
ACSM3,6296,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
ADRA1A,148,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
ANXA6,309,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
BGN,633,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
CAV2,858,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
CNN1,1264,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
CRAT,1384,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
DLG1,1739,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
ECHS1,1892,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
ELN,2006,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
F7,2155,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
GSTZ1,2954,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
KL,9365,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
NRP2,8828,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
PAH,5053,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
PDHA1,5160,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
PON2,5445,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
RETN,56729,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
SLC27A1,376497,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
SLC4A4,8671,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
SLCO1B3,28234,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
SORT1,6272,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
TNS1,7145,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
TSC2,7249,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
UNC5B,219699,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.75,1
ADGRG1,9289,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
AGRN,375790,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
AGTR1,185,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
AKR1D1,6718,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
ATP2B4,493,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
CCT2,10576,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
CDO1,1036,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
CHI3L1,1116,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
CLDN3,1365,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
DLD,1738,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
GFRA1,2674,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
GPD2,2820,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
HIPK2,28996,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
HSD17B10,3028,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
IL1RAP,3556,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
INSIG2,51141,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
L1CAM,3897,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
LASP1,3927,Graves Ophthalmopathy,MESH:D049970,,Rosiglitazone,3.74,1
