"outcome_name","outcome_role","n_iv","Egger_intercept","Egger_int_p","Cochran_Q","Cochran_Q_p"
"Fasting_Glucose","secondary_offtarget",8,-0.00405301069963953,0.299678461661055,13.1610864288154,0.068279471175519
"HbA1c","secondary_offtarget",8,-0.00171129491443781,0.659893587845537,9.52627806902354,0.217045093345124
"Type2_Diabetes","secondary_offtarget",7,-0.00305115851136248,0.756606677276375,10.2682487223764,0.113800591678727
"Height","negative_control",8,0.0104938433390964,0.337578812917524,110.723606777856,6.4985735349061e-21
"Skin_Color","negative_control",10,-0.00186219196524529,0.090590233988027,12.7645853919567,0.173551042428187
