"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","gene","outcome_role","n_iv","b_rescaled","se_rescaled","scale_note"
"eqtl-a-ENSG00000132170","ebi-a-GCST90038636","outcome","exposure","Weighted median",3,-0.00016730575608731,0.000465294962652618,0.719169290012432,"PPARG","Replication",3,-0.0218989803830082,0.0609033753394878,"rescaled (×130.9)"
"eqtl-a-ENSG00000132170","ebi-a-GCST90038636","outcome","exposure","Weighted mode",3,-0.000180467981945426,0.00119034385307145,0.893406349708079,"PPARG","Replication",3,-0.0236218100847741,0.155806454583922,"rescaled (×130.9)"
"eqtl-a-ENSG00000137486","ebi-a-GCST90018627","outcome","exposure","Inverse variance weighted",5,-0.176657783876566,0.1242256719601,0.155005504248264,"ARRB1","Primary",5,-0.176657783876566,0.1242256719601,"as reported (log-odds)"
"eqtl-a-ENSG00000137486","ebi-a-GCST90018627","outcome","exposure","MR Egger",5,-0.3142767439887,0.194578517429592,0.204687049347804,"ARRB1","Primary",5,-0.3142767439887,0.194578517429592,"as reported (log-odds)"
"eqtl-a-ENSG00000137486","ebi-a-GCST90018627","outcome","exposure","Weighted median",5,-0.221855706427809,0.137238028100528,0.105969829797259,"ARRB1","Primary",5,-0.221855706427809,0.137238028100528,"as reported (log-odds)"
"eqtl-a-ENSG00000137486","ebi-a-GCST90018627","outcome","exposure","Weighted mode",5,-0.232393174384419,0.40881024216046,0.600115393261015,"ARRB1","Primary",5,-0.232393174384419,0.40881024216046,"as reported (log-odds)"
"eqtl-a-ENSG00000137486","ebi-a-GCST90018627","outcome","exposure","Simple mode",5,-0.193958049268008,0.289898059282424,0.540093914329851,"ARRB1","Primary",5,-0.193958049268008,0.289898059282424,"as reported (log-odds)"
"eqtl-a-ENSG00000137486","ebi-a-GCST90038636","outcome","exposure","Inverse variance weighted",6,-0.000690896748161642,0.000619503890254788,0.26474673893369,"ARRB1","Replication",6,-0.0904328379878352,0.081088086011859,"rescaled (×130.9)"
"eqtl-a-ENSG00000137486","ebi-a-GCST90038636","outcome","exposure","MR Egger",6,-0.000697510462261063,0.0010734448631267,0.551259362196243,"ARRB1","Replication",6,-0.0912985200702046,0.140505315236046,"rescaled (×130.9)"
"eqtl-a-ENSG00000137486","ebi-a-GCST90038636","outcome","exposure","Weighted median",6,-0.000785136651429784,0.000536636848366046,0.143448543062473,"ARRB1","Replication",6,-0.102768084791231,0.0702414554645366,"rescaled (×130.9)"
"eqtl-a-ENSG00000137486","ebi-a-GCST90038636","outcome","exposure","Weighted mode",6,-0.0010240191425619,0.00267911338174327,0.718002780953579,"ARRB1","Replication",6,-0.134035885191453,0.350674434417148,"rescaled (×130.9)"
"eqtl-a-ENSG00000137486","ebi-a-GCST90038636","outcome","exposure","Simple mode",6,-0.00135836396153708,0.000909370123933456,0.195468311864304,"ARRB1","Replication",6,-0.177798937958609,0.119029249026675,"rescaled (×130.9)"
"eqtl-a-ENSG00000169047","ebi-a-GCST90018627","outcome","exposure","Inverse variance weighted",2,-0.137810464948129,0.0900405659469452,0.125883732460245,"IRS1","Primary",2,-0.137810464948129,0.0900405659469452,"as reported (log-odds)"
"eqtl-a-ENSG00000169047","ebi-a-GCST90038636","outcome","exposure","Inverse variance weighted",3,-6.41631603130623e-05,0.000490501293718327,0.895924505596604,"IRS1","Replication",3,-0.00839844259915539,0.0642026817258593,"rescaled (×130.9)"
"eqtl-a-ENSG00000169047","ebi-a-GCST90038636","outcome","exposure","MR Egger",3,0.000579136417641502,0.000956583150514471,0.653426309941156,"IRS1","Replication",3,0.0758043079067671,0.125209055191745,"rescaled (×130.9)"
"eqtl-a-ENSG00000169047","ebi-a-GCST90038636","outcome","exposure","Weighted median",3,-1.18002619958471e-05,0.000509880403666611,0.981536049669201,"IRS1","Replication",3,-0.00154455956570052,0.0667392516474355,"rescaled (×130.9)"
