Gene,Pathway
IL3RA,IGF1R_Expanded
PKN3,IGF1R_Expanded
EIF4E,IGF1R_Expanded
CDKN1A,IGF1R_Expanded
CCND2,IGF1R_Expanded
MAGI2,IGF1R_Expanded
CREB3L1,IGF1R_Expanded
GNG13,IGF1R_Expanded
FGF22,IGF1R_Expanded
LAMB3,IGF1R_Expanded
IFNA6,IGF1R_Expanded
DDIT4,IGF1R_Expanded
LPAR3,IGF1R_Expanded
PDPK1,IGF1R_Expanded
VEGFA,IGF1R_Expanded
ERBB4,IGF1R_Expanded
PIK3CA,IGF1R_Expanded
PPP2R2A,IGF1R_Expanded
CRTC2,IGF1R_Expanded
PIK3CG,IGF1R_Expanded
MYC,IGF1R_Expanded
PPP2R2C,IGF1R_Expanded
IFNA5,IGF1R_Expanded
RELN,IGF1R_Expanded
CD19,IGF1R_Expanded
IL2RB,IGF1R_Expanded
ANGPT4,IGF1R_Expanded
MET,IGF1R_Expanded
FGF10,IGF1R_Expanded
IFNA7,IGF1R_Expanded
SGK1,IGF1R_Expanded
IGF2,IGF1R_Expanded
GNG11,IGF1R_Expanded
CREB3,IGF1R_Expanded
CSH2,IGF1R_Expanded
COL9A3,IGF1R_Expanded
FLT3LG,IGF1R_Expanded
FLT3,IGF1R_Expanded
PTEN,IGF1R_Expanded
GYS1,IGF1R_Expanded
FGF1,IGF1R_Expanded
GNG7,IGF1R_Expanded
EFNA5,IGF1R_Expanded
CREB5,IGF1R_Expanded
LPAR1,IGF1R_Expanded
FASLG,IGF1R_Expanded
INSR,IGF1R_Expanded
CDK2,IGF1R_Expanded
IL7R,IGF1R_Expanded
IFNA14,IGF1R_Expanded
PDGFA,IGF1R_Expanded
FGF3,IGF1R_Expanded
VEGFC,IGF1R_Expanded
NTRK1,IGF1R_Expanded
EIF4E2,IGF1R_Expanded
PIK3R6,IGF1R_Expanded
CDK6,IGF1R_Expanded
FGF18,IGF1R_Expanded
TLR4,IGF1R_Expanded
OSM,IGF1R_Expanded
THBS2,IGF1R_Expanded
COL6A5,IGF1R_Expanded
LPAR4,IGF1R_Expanded
TP53,IGF1R_Expanded
FLT4,IGF1R_Expanded
EIF4E1B,IGF1R_Expanded
CSF1R,IGF1R_Expanded
PDGFC,IGF1R_Expanded
GNB1,IGF1R_Expanded
GYS2,IGF1R_Expanded
LPAR6,IGF1R_Expanded
TCL1B,IGF1R_Expanded
FGF9,IGF1R_Expanded
NRAS,IGF1R_Expanded
RBL2,IGF1R_Expanded
MAP2K1,IGF1R_Expanded
THBS1,IGF1R_Expanded
ITGA4,IGF1R_Expanded
HSP90AB1,IGF1R_Expanded
MAP2K2,IGF1R_Expanded
ITGB5,IGF1R_Expanded
TSC1,IGF1R_Expanded
IL4,IGF1R_Expanded
IFNB1,IGF1R_Expanded
IFNAR2,IGF1R_Expanded
CCNE1,IGF1R_Expanded
BRAF,IGF1R_Expanded
RHEB,IGF1R_Expanded
GNG5,IGF1R_Expanded
ATF4,IGF1R_Expanded
IFNA10,IGF1R_Expanded
CCND1,IGF1R_Expanded
COL4A3,IGF1R_Expanded
LAMA3,IGF1R_Expanded
TNR,IGF1R_Expanded
GH2,IGF1R_Expanded
GHR,IGF1R_Expanded
TLR2,IGF1R_Expanded
EFNA4,IGF1R_Expanded
NGFR,IGF1R_Expanded
MLST8,IGF1R_Expanded
IL2,IGF1R_Expanded
BRCA1,IGF1R_Expanded
IL3,IGF1R_Expanded
TCL1A,IGF1R_Expanded
IRS2,IGF1R_Expanded
TNXB,IGF1R_Expanded
YWHAE,IGF1R_Expanded
KRAS,IGF1R_Expanded
VEGFB,IGF1R_Expanded
RPS6,IGF1R_Expanded
AREG,IGF1R_Expanded
NGF,IGF1R_Expanded
RELA,IGF1R_Expanded
THEM4,IGF1R_Expanded
ITGA6,IGF1R_Expanded
YWHAG,IGF1R_Expanded
PIK3R1,IGF1R_Expanded
GH1,IGF1R_Expanded
PHLPP2,IGF1R_Expanded
FGF17,IGF1R_Expanded
TSC2,IGF1R_Expanded
LPAR5,IGF1R_Expanded
PDGFD,IGF1R_Expanded
IFNA1,IGF1R_Expanded
ITGA2B,IGF1R_Expanded
GNB4,IGF1R_Expanded
ITGA1,IGF1R_Expanded
THBS3,IGF1R_Expanded
ITGA8,IGF1R_Expanded
IL2RG,IGF1R_Expanded
KIT,IGF1R_Expanded
IGH,IGF1R_Expanded
TNN,IGF1R_Expanded
PPP2CA,IGF1R_Expanded
PPP2R3A,IGF1R_Expanded
LAMA4,IGF1R_Expanded
STK11,IGF1R_Expanded
MDM2,IGF1R_Expanded
PDGFB,IGF1R_Expanded
IFNA8,IGF1R_Expanded
IGF1,IGF1R_Expanded
FGF7,IGF1R_Expanded
SGK2,IGF1R_Expanded
LAMA2,IGF1R_Expanded
ITGA7,IGF1R_Expanded
G6PC2,IGF1R_Expanded
COL4A4,IGF1R_Expanded
GNG4,IGF1R_Expanded
IFNAR1,IGF1R_Expanded
PPP2R5A,IGF1R_Expanded
GNG10,IGF1R_Expanded
PIK3CD,IGF1R_Expanded
SHC1,IGF1R_Expanded
IRS1,IGF1R_Expanded
PRKAA2,IGF1R_Expanded
MYB,IGF1R_Expanded
EREG,IGF1R_Expanded
ITGB6,IGF1R_Expanded
LPAR2,IGF1R_Expanded
TNC,IGF1R_Expanded
SOS2,IGF1R_Expanded
THBS4,IGF1R_Expanded
LAMB4,IGF1R_Expanded
EIF4EBP1,IGF1R_Expanded
COL4A5,IGF1R_Expanded
PPP2R3B,IGF1R_Expanded
COL6A2,IGF1R_Expanded
YWHAZ,IGF1R_Expanded
