Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
136,positive regulation of transferase activity (GO:0051347),0.0220370606188443,67.51700680272108,257.57938413758654,['ADIPOQ'],0.02722225135269002,0,0
137,response to cytokine (GO:0034097),0.022332620742503966,66.60402684563758,253.2089854843052,['ADIPOQ'],0.02738598747985888,0,0
138,negative regulation of protein phosphorylation (GO:0001933),0.02262812131687884,65.71523178807946,248.9662194692262,['ADIPOQ'],0.02754727812489598,0,0
139,adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188),0.02454742402194703,60.46646341463415,224.1581505658515,['TSHR'],0.029668829033720152,0,0
140,positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123),0.02543240803684056,58.31470588235294,214.1159140014995,['ADIPOQ'],0.03051888964420867,0,0
141,negative regulation of immune response (GO:0050777),0.026464212754592566,55.98870056497175,203.34882844573715,['TSHR'],0.0315318279629188,0,0
142,negative regulation of cell differentiation (GO:0045596),0.028378489124853832,52.123684210526314,185.67101846704094,['ADIPOQ'],0.033574550513911575,0,0
143,protein localization to membrane (GO:0072657),0.028966992043161045,51.03865979381443,180.75843089538657,['ADIPOQ'],0.03403115149126612,0,0
144,negative regulation of intracellular signal transduction (GO:1902532),0.02940821326513827,50.253807106598984,177.21911005498902,['ADIPOQ'],0.034072964334780895,0,0
145,regulation of signal transduction (GO:0009966),0.02940821326513827,50.253807106598984,177.21911005498902,['ADIPOQ'],0.034072964334780895,0,0
146,regulation of inflammatory response (GO:0050727),0.03058414979175629,48.27317073170732,168.3417434966291,['ADIPOQ'],0.0351927203083223,0,0
147,negative regulation of multicellular organismal process (GO:0051241),0.03175913620977989,46.44131455399061,160.2027902404613,['ADIPOQ'],0.036050911373263654,0,0
148,positive regulation of protein modification process (GO:0031401),0.03175913620977989,46.44131455399061,160.2027902404613,['ADIPOQ'],0.036050911373263654,0,0
149,regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),0.033226533718203444,44.336322869955154,150.9388663798305,['ADIPOQ'],0.03746347425945086,0,0
150,regulation of ERK1 and ERK2 cascade (GO:0070372),0.03527839860951162,41.687763713080166,139.4240770668133,['ADIPOQ'],0.039511806442653015,0,0
151,positive regulation of signal transduction (GO:0009967),0.03732735843592945,39.33466135458168,129.3334974469934,['ADIPOQ'],0.041418191247177855,0,0
152,positive regulation of phosphorylation (GO:0042327),0.037473601604589485,39.176587301587304,128.6605571263602,['ADIPOQ'],0.041418191247177855,0,0
153,regulation of protein phosphorylation (GO:0001932),0.039373415247717786,37.23018867924528,120.4271670549802,['ADIPOQ'],0.04311212850823311,0,0
154,negative regulation of signal transduction (GO:0009968),0.03951945113254702,37.088345864661655,119.83104705578049,['ADIPOQ'],0.04311212850823311,0,0
155,positive regulation of apoptotic process (GO:0043065),0.0457850030466385,31.857605177993527,98.24244098318539,['ADIPOQ'],0.04962503556022754,0,0
156,cellular response to oxygen-containing compound (GO:1901701),0.04767386135461656,30.551242236024844,92.97879553067298,['TSHR'],0.051341081458817835,0,0
157,positive regulation of cytokine production (GO:0001819),0.049415209074596296,29.43562874251497,88.5275659065102,['ADIPOQ'],0.05287742117536419,0,0
158,positive regulation of protein phosphorylation (GO:0001934),0.05462651382918424,26.522972972972973,77.10853954205463,['ADIPOQ'],0.05808388812217057,0,0
159,regulation of cell migration (GO:0030334),0.05996269454333869,24.066339066339065,67.72346432564517,['ADIPOQ'],0.06335680932881069,0,0
160,negative regulation of nucleic acid-templated transcription (GO:1903507),0.06800082293500335,21.095032397408207,56.70841437146408,['ADIPOQ'],0.07140086408175353,0,0
161,positive regulation of cell population proliferation (GO:0008284),0.06943136371060034,20.6384778012685,55.05141801530112,['TSHR'],0.07245011865453949,0,0
162,positive regulation of intracellular signal transduction (GO:1902533),0.07968806943333268,17.84587155963303,45.143548402283756,['ADIPOQ'],0.08227876315331462,0,0
163,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.07982999044041834,17.812271062271062,45.02685672500736,['ADIPOQ'],0.08227876315331462,0,0
164,negative regulation of cellular process (GO:0048523),0.08252371812880772,17.19646017699115,42.89948530459565,['ADIPOQ'],0.08453649174170548,0,0
165,positive regulation of cellular process (GO:0048522),0.09085493361709963,15.523237179487179,37.2323474682447,['TSHR'],0.09250684150104689,0,0
166,regulation of cell population proliferation (GO:0042127),0.11028300681946636,12.604193971166449,27.78853486226343,['TSHR'],0.11161171774500209,0,0
167,"negative regulation of transcription, DNA-templated (GO:0045892)",0.13557232867997174,10.058078141499472,20.09855454649546,['ADIPOQ'],0.1363841390313488,0,0
168,"regulation of transcription, DNA-templated (GO:0006355)",0.30025877813802326,3.9576460098082924,4.76148579560648,['ADIPOQ'],0.30025877813802326,0,0
