Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
508,response to lipopolysaccharide (GO:0032496),0.061868456951280446,17.933092224231466,49.90321931291774,['IL6'],0.06698356559685875,0,0
509,positive regulation of protein kinase B signaling (GO:0051897),0.06262484148102337,17.707142857142856,49.05929049133134,['TNF'],0.0676692786140724,0,0
510,regulation of MAPK cascade (GO:0043408),0.06451346874924052,17.166233766233766,47.050608420266336,['IL6'],0.06957334865114173,0,0
511,"DNA-templated transcription, initiation (GO:0006352)",0.06526798688875428,16.958939264328485,46.28524620277552,['PPARG'],0.07024930095658484,0,0
512,positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123),0.06639876568595054,16.65714285714286,45.175450892690016,['TNF'],0.07118776048201325,0,0
513,neuron projection development (GO:0031175),0.06639876568595054,16.65714285714286,45.175450892690016,['IL6'],0.07118776048201325,0,0
514,defense response to bacterium (GO:0042742),0.06828073731864787,16.177142857142858,43.421515351442125,['IL6'],0.07306304576898118,0,0
515,positive regulation of developmental process (GO:0051094),0.0686567330509577,16.084415584415584,43.084295807704265,['TNF'],0.07332272461752763,0,0
516,regulation of translation (GO:0006417),0.06903259602167243,15.99273607748184,42.75140593033033,['IL6'],0.0734389319379494,0,0
517,negative regulation of immune response (GO:0050777),0.06903259602167243,15.99273607748184,42.75140593033033,['IL6'],0.0734389319379494,0,0
518,negative regulation of macromolecule metabolic process (GO:0010605),0.07502837931017566,14.655070318282753,37.955003157820386,['TNF'],0.07950984319960812,0,0
519,regulation of programmed cell death (GO:0043067),0.07502837931017566,14.655070318282753,37.955003157820386,['TNF'],0.07950984319960812,0,0
520,protein localization to membrane (GO:0072657),0.07540199130344412,14.57879234167894,37.68503514510963,['TNF'],0.07975210618633513,0,0
521,modification-dependent protein catabolic process (GO:0019941),0.07764089162771914,14.137142857142857,36.12974516911655,['ARRB1'],0.08196255354173806,0,0
522,proteasomal protein catabolic process (GO:0010498),0.07913085511201665,13.857142857142858,35.15075472727737,['ARRB1'],0.0833754220528911,0,0
523,regulation of protein kinase B signaling (GO:0051896),0.07987504680116297,13.72122052704577,34.67752785443499,['TNF'],0.08399861518286737,0,0
524,negative regulation of multicellular organismal process (GO:0051241),0.08247557532114909,13.26559356136821,33.10101327412349,['TNF'],0.08656787485998474,0,0
525,cellular response to lipid (GO:0071396),0.08432915615708339,12.958060288335517,32.04564088950677,['IL6'],0.08834483025980165,0,0
526,positive regulation of cell motility (GO:2000147),0.08506967055696874,12.838961038961038,31.638855311433936,['HAS2'],0.08895117643789506,0,0
527,regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),0.08617945966503399,12.664317745035234,31.044338644375678,['TNF'],0.08994061255364079,0,0
528,membrane organization (GO:0061024),0.09281349286750348,11.70776526378186,27.831269353724167,['ARRB1'],0.0966807217369828,0,0
529,positive regulation of signal transduction (GO:0009967),0.09648082675964229,11.235628912919749,26.273517981296447,['IL6'],0.10031087848356003,0,0
530,protein-containing complex assembly (GO:0065003),0.10195750503475176,10.593984962406015,24.188177671180238,['TNF'],0.10580495805493108,0,0
531,positive regulation of cell migration (GO:0030335),0.10268552958497451,10.513859275053305,23.930427629401827,['HAS2'],0.10635977640628244,0,0
532,innate immune response (GO:0045087),0.11462360325123681,9.345514950166113,20.24333426822986,['PPARG'],0.11850184546650422,0,0
533,MAPK cascade (GO:0000165),0.1149831829216247,9.314096499526963,20.14610568709965,['TNF'],0.11865056399041948,0,0
534,transcription by RNA polymerase II (GO:0006366),0.12107651758000425,8.81012091356919,18.601095112022612,['PPARG'],0.12470427840637142,0,0
535,proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),0.1214338030155473,8.782142857142857,18.51614701332326,['ARRB1'],0.12483848908140376,0,0
536,negative regulation of gene expression (GO:0010629),0.12179096137390887,8.7543391188251,18.43181572708943,['TNF'],0.12497206857397365,0,0
537,cellular response to oxygen-containing compound (GO:1901701),0.1221479926701053,8.726708074534162,18.34809497017889,['IL6'],0.12510502042561994,0,0
538,post-translational protein modification (GO:0043687),0.12997061587634015,8.159468438538205,16.648961965166315,['IL6'],0.13286958872116558,0,0
539,ubiquitin-dependent protein catabolic process (GO:0006511),0.1331531570366007,7.947794415216512,16.024782268271085,['ARRB1'],0.13587056840469458,0,0
540,protein transport (GO:0015031),0.13843475934913768,7.618012422360248,15.063523454852836,['PPARG'],0.14099836600375135,0,0
541,negative regulation of programmed cell death (GO:0043069),0.14263974603941806,7.372932330827068,14.35829236085336,['IL6'],0.1450126808164139,0,0
542,regulation of cell migration (GO:0030334),0.15203536892875155,6.874341874341875,12.948799729129462,['HAS2'],0.15427943341478478,0,0
543,protein modification by small protein conjugation (GO:0032446),0.15238161778602533,6.857142857142857,12.90080407684447,['ARRB1'],0.15434602169855235,0,0
544,cellular protein metabolic process (GO:0044267),0.15514715809285315,6.722527472527473,12.526631345187276,['IL6'],0.15685833998358314,0,0
545,regulation of nucleic acid-templated transcription (GO:1903506),0.15962432362436865,6.514485514485514,11.953639249452799,['CEBPA'],0.16108876696037203,0,0
546,regulation of intracellular signal transduction (GO:1902531),0.16202649519894702,6.407601572739187,11.661805429143824,['TNF'],0.16321350248978178,0,0
547,regulation of cellular macromolecule biosynthetic process (GO:2000112),0.17259261404620668,5.972774548791679,10.493097508978673,['CEBPA'],0.17353919145413835,0,0
548,neutrophil mediated immunity (GO:0002446),0.1793474310330127,5.721619243179818,9.832204438239485,['IL6'],0.1800019837010164,0,0
549,protein ubiquitination (GO:0016567),0.19171672942011075,5.30752453653217,8.766631279729614,['ARRB1'],0.19206594022051168,0,0
550,cellular protein modification process (GO:0006464),0.34358000355524076,2.646205357142857,2.827034560838431,['IL6'],0.34358000355524076,0,0
